bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,year,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,family.group,length.mat.care,n.LMC,litter.size,mean.offspring.condition
W0711_2007,W0711,2006,M,2006,1,WithMother,5.61,-23.158,24,40,4/19/2007,4.8252,0.6,2006,2007,Femma_k4:2,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9806,W0012,125,o,1,2,0.55625
W9903_2008,W9903,2007,F,1997,11,WithCubs,4.07,-22.686,71,61,4/30/2008,10.2152,1.163934426,2007,2008,Kulla,s,s,s,2,s,s,l,l,l,l,l,l,2,january-june,yes,1,unknown,unknown,130,o,1,2,0.416322826
W0821_2008,W0821,2007,M,2007,1,WithMother,4.68,-22.686,15,36.5,4/30/2008,5.3838,0.410958904,2007,2008,Kulla_k3:1,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9903,unknown,130,o,1,2,0.416322826
W0822_2008,W0822,2007,M,2007,1,WithMother,4.51,-23.036,17.5,41.5,4/30/2008,5.9228,0.421686747,2007,2008,Kulla_k3:2,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9903,unknown,130,o,1,2,0.416322826
W9904_1999,W9904,1998,F,1994,5,WithCubs,5.21,-22.074,111,60,4/12/1999,2.8456,1.85,1998,1999,Flena,s,s,s,2,s,2,l,l,d,NA,NA,NA,2,january-june,yes,1,unknown,unknown,132,o,1,2,0.634146341
W9905_1999,W9905,1998,F,1998,1,WithMother,7.33,-21.694,26,41,4/12/1999,3.0122,0.634146341,1998,1999,Våna,m,m,m,m,m,m,l,l,d,NA,NA,NA,0,NA,NA,NA,W9904,unknown,132,o,1,2,0.634146341
W9909_2003,W9909,2002,F,1989,14,WithCubs,3.86,-22.906,78,66,4/14/2003,4.247,1.181818182,2002,2003,Stubba,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,95SS92,W8697,133,o,1,3,
W0304_2003,W0304,2002,F,2002,1,WithMother,4.8,-22.966,29,NA,4/14/2003,3.4238,NA,2002,2003,Gruva,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9909,unknown,133,o,1,3,
W0305_2003,W0305,2002,F,2002,1,WithMother,4.79,-22.956,24,NA,4/14/2003,5.0016,NA,2002,2003,Snåla,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9909,unknown,133,o,1,3,
W0306_2003,W0306,2002,F,2002,1,WithMother,4.99,-22.846,24.5,NA,4/14/2003,4.5508,NA,2002,2003,Kringla,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9909,unknown,133,o,1,3,
W9909_2006,W9909,2005,F,1989,17,WithCubs,4.75,-23.3,109,65,4/20/2006,3.8354,1.676923077,2005,2006,Stubba,s,s,s,s,1,l,l,l,d,NA,NA,NA,1,january-may,yes,1,95SS92,W8697,134,o,1,1,0.854166667
W0603_2006,W0603,2005,F,2005,1,WithMother,5.67,-23.06,41,48,4/20/2006,3.6688,0.854166667,2005,2006,Bryna,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9909,unknown,134,o,1,1,0.854166667
W9913_2004,W9913,2003,F,1998,6,WithCubs,3.67,-22.894,101,60,4/18/2004,2.6986,1.683333333,2003,2004,Strandli,s,s,s,2,2,2,l,l,l,l,l,l,2,january-june,yes,1,W9404,W9311,135,o,1,2,0.60704607
W0415_2004,W0415,2003,F,2003,1,WithMother,4.41,-23.254,27,41,4/18/2004,3.1004,0.658536585,2003,2004,Gnolla,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9913,W0201,135,o,1,2,0.60704607
W0416_2004,W0416,2003,F,2003,1,WithMother,4.35,-23.234,25,45,4/18/2004,3.7864,0.555555556,2003,2004,Aspa,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9913,unknown,135,o,1,2,0.60704607
W9913_2006,W9913,2005,F,1998,8,WithCubs,3.99,-23.22,99,62,5/3/2006,4.639,1.596774194,2005,2006,Strandli,s,s,s,s,2,l,l,l,l,d,NA,NA,2,january-may,yes,1,W9404,W9311,136,o,1,2,0.48125
W0621_2006,W0621,2005,F,2005,1,WithMother,4.53,-23.28,18,40,5/3/2006,4.5312,0.45,2005,2006,Stöa,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9913,W0424,136,o,1,2,0.48125
W0622_2006,W0622,2005,F,2005,1,WithMother,4.81,-23.37,20.5,40,5/3/2006,7.579,0.5125,2005,2006,Skarva,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9913,W0424,136,o,1,2,0.48125
W9914_2006,W9914,2005,F,1998,8,WithCubs,4.51,-22.69,94,63,5/3/2006,3.7472,1.492063492,2005,2006,Gira,s,s,s,1,s,l,l,l,l,l,l,l,1,january-may,yes,1,W9404,W9311,137,o,1,1,0.488095238
W0623_2006,W0623,2005,F,2005,1,WithMother,5.43,-22.95,20.5,42,5/3/2006,5.4034,0.488095238,2005,2006,Verva,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9914,W0102,137,o,1,1,0.488095238
W9914_2013,W9914,2012,F,1998,15,WithCubs,4.58,-23.366,98,61,4/30/2013,7.84,1.606557377,2012,2013,Gira,s,s,s,2,l,l,l,l,l,l,l,l,2,january-april,yes,1,W9404,W9311,139,o,1,2,0.525
W1309_2013,W1309,2012,F,2012,1,WithMother,5.3,-22.186,21,40,4/30/2013,10.79,0.525,2012,2013,Fulunäsa,m,m,m,m,l,l,l,l,l,l,l,l,0,NA,NA,NA,W9914,unknown,139,o,1,2,0.525
W0004_2008,W0004,2007,F,1994,14,WithCubs,4.24,-22.966,88,65,4/24/2008,4.835,1.353846154,2007,2008,Öda,s,s,s,3,3,3,3,s,s,3,s,s,3,january-december,no,1,95SS93,W9002,5,t,2,3,0.705048154
W0810_2008,W0810,2007,M,2007,1,WithMother,4.95,-23.206,24,43,4/24/2008,8.2748,0.558139535,2007,2008,Mismyr,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0004,unknown,5,t,2,3,0.705048154
W0810_2009,W0810,2008,M,2007,2,WithMother,4.06,-22.764,48,50,4/17/2009,8.09,0.96,2008,2009,Mismyr,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W0004,unknown,5,t,2,3,0.705048154
W0811_2008,W0811,2007,M,2007,1,WithMother,4.83,-23.106,22,42,4/24/2008,6.06,0.523809524,2007,2008,Klittmyr,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0004,unknown,5,t,2,3,0.705048154
W0811_2009,W0811,2008,M,2007,2,WithMother,3.96,-22.754,45,48,4/17/2009,9.97,0.9375,2008,2009,Klittmyr,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W0004,unknown,5,t,2,3,0.705048154
W0812_2008,W0812,2007,M,2007,1,WithMother,4.81,-23.126,16,38,4/24/2008,7.6476,0.421052632,2007,2008,Villmyr,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0004,unknown,5,t,2,3,0.705048154
W0812_2009,W0812,2008,M,2007,2,WithMother,3.9,-22.844,39,47,4/17/2009,11.08,0.829787234,2008,2009,Villmyr,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W0004,unknown,5,t,2,3,0.705048154
W0018_2007,W0018,2006,F,1999,8,WithCubs,4.71,-23.208,97,63,4/17/2007,6.87,1.53968254,2006,2007,Tuva,s,s,s,3,3,3,3,3,3,3,3,s,3,january-december,no,1,W9504,unknown,9,t,2,3,0.586035958
W0708_2007,W0708,2006,M,2006,1,WithMother,5.35,-23.168,22,38.5,4/17/2007,10.47,0.571428571,2006,2007,Tuva_k3:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0018,unknown,9,t,2,3,0.586035958
W0709_2007,W0709,2006,F,2006,1,WithMother,5.46,-23.008,25,41.5,4/17/2007,11.65,0.602409639,2006,2007,Rymma,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0018,unknown,9,t,2,3,0.586035958
W0710_2007,W0710,2006,M,2006,1,WithMother,5.33,-23.318,26,44.5,4/17/2007,7.74,0.584269663,2006,2007,Tuva_k3:3,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0018,unknown,9,t,2,3,0.586035958
W0104_2006,W0104,2005,F,2000,6,WithCubs,4.36,-22.95,77,59,4/20/2006,11.35,1.305084746,2005,2006,Abborrgina,s,s,s,1,s,1,s,1,1,1,1,s,1,january-december,no,1,W9909,99X07,10,t,2,1,
W0104_2010,W0104,2009,F,2000,10,WithCubs,4.8,-22.912,97,62,4/13/2010,5.64,1.564516129,2009,2010,Abborrgina,s,s,s,2,l,l,l,l,l,l,l,l,2,january-april,yes,2,W9909,99X07,11,t,2,2,0.786939179
W0602_2006,W0602,2005,F,2005,1,WithMother,4.9,-23.47,19,41,4/20/2006,15.59,0.463414634,2005,2006,Hälla,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0104,unknown,11,t,2,2,0.786939179
W0901_2009,W0901,2008,M,2008,1,WithMother,5.3,-23.204,25,38,4/16/2009,10.93,0.657894737,2008,2009,Loften,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0104,unknown,11,t,2,2,0.786939179
W0901_2010,W0901,2009,M,2008,2,WithMother,4.98,-23.182,49,47,4/13/2010,4.56,1.042553191,2009,2010,Loften,m,m,m,m,l,l,l,l,l,l,l,l,NA,NA,NA,NA,W0104,unknown,11,t,2,2,0.786939179
W0902_2009,W0902,2008,M,2008,1,WithMother,5.64,-22.824,25,40,4/16/2009,7.92,0.625,2008,2009,Räken,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0104,unknown,11,t,2,2,0.786939179
W0902_2010,W0902,2009,M,2008,2,WithMother,5.33,-23.182,55,48,4/13/2010,4.87,1.145833333,2009,2010,Räken,m,m,m,m,l,l,l,l,l,l,l,l,NA,NA,NA,NA,W0104,unknown,11,t,2,2,0.786939179
W0104_2012,W0104,2011,F,2000,12,WithCubs,4.33,-22.968,78,60,5/2/2012,9.39,1.3,2011,2012,Abborrgina,s,s,s,2,2,s,s,2,s,2,s,s,2,january-december,no,1,W9909,99X07,12,t,2,2,0.650462963
W1205_2012,W1205,2011,F,2011,1,WithMother,5.79,-23.328,20,40,5/2/2012,10.08,0.5,2011,2012,Klummy,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0104,unknown,12,t,2,2,0.650462963
W1205_2013,W1205,2012,F,2011,2,WithMother,4.99,-23.406,43,48,4/23/2013,2.43,0.895833333,2012,2013,Klummy,m,m,m,m,l,l,l,l,l,l,l,l,0,NA,NA,NA,W0104,unknown,12,t,2,2,0.650462963
W1206_2012,W1206,2011,F,2011,1,WithMother,5.47,-23.228,22.5,40.5,5/2/2012,9.33,0.555555556,2011,2012,Klumpa,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0104,unknown,12,t,2,2,0.650462963
W1206_2013,W1206,2012,F,2011,2,WithMother,5.18,-23.316,NA,54,6/11/2013,3.88,NA,2012,2013,Klumpa,m,m,m,m,l,l,l,l,l,l,l,l,0,NA,NA,NA,W0104,unknown,12,t,2,2,0.650462963
