bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,fAGE,year,fREPRO,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,FG
W0303_2003,W0303,2002,F,2002,1,WithMother,5.52,-23.106,18,38,4/13/2003,4.2372,0.473684211,2002,1,2003,4,Näcka,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W8906,W0012,77
W8906_2003,W8906,2002,F,1981,22,WithCubs,4.65,-22.926,97,65,4/13/2003,5.36,1.492307692,2002,22,2003,3,Tunturihonan,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,unknown,unknown,77
W0507_2005,W0507,2004,F,2004,1,WithMother,4.4,-23.892,22,41,4/16/2005,5.9718,0.536585366,2004,1,2005,4,Läfta,m,m,m,m,l,l,l,l,l,l,l,l,0,NA,NA,NA,W8906,unknown,78
W8906_2005,W8906,2004,F,1981,24,WithCubs,3.89,-23.742,127,70,4/16/2005,8.0592,1.814285714,2004,24,2005,3,Tunturihonan,s,s,s,1,l,l,l,l,l,D,NA,NA,1,january-april,yes,1,unknown,unknown,78
W9602_1996,W9602,1995,F,1995,1,WithMother,4.86,-22.92,18,39,4/12/1996,4.394,0.461538462,1995,1,1996,4,Myra,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9003,W0108,79
W9003_1997,W9003,1996,F,1989,8,WithCubs,5.03,-22.728,103,59,4/16/1997,3.6394,1.745762712,1996,8,1997,3,Jöllmyrshonan,s,s,2,2,2,l,l,l,l,l,l,l,2,january-may,yes,2,W8802,unknown,79
W9907_1999,W9907,1998,M,1998,1,WithMother,4.86,-22.484,29,42,4/12/1999,3.0122,0.69047619,1998,1,1999,4,Jöllmyr_k3:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9003,W0108,80
W9908_1999,W9908,1998,F,1998,1,WithMother,4.69,-22.774,23,41.5,4/12/1999,4.1294,0.554216867,1998,1,1999,4,Sussi,m,m,m,m,m,l,l,l,l,l,l,NA,0,NA,NA,NA,W9003,unknown,80
W9003_1999,W9003,1998,F,1989,10,WithCubs,4.41,-22.934,104,61,4/12/1999,3.4924,1.704918033,1998,10,1999,3,Jöllmyrshonan,s,s,s,s,2,l,l,l,l,l,l,l,2,january-may,yes,1,W8802,unknown,80
W0107_2001,W0107,2000,F,2000,1,WithMother,5.49,-22.69,28.5,44,4/18/2001,3.708,0.647727273,2000,1,2001,4,Akita,m,m,m,m,m,m,m,m,l,l,l,l,0,NA,NA,NA,W9003,unknown,81
W9003_2001,W9003,2000,F,1989,12,WithCubs,5.1,-22.91,112,62,4/18/2001,3.3552,1.806451613,2000,12,2001,3,Jöllmyrshonan,s,s,s,s,s,1,1,s,D,NA,NA,NA,1,january-august,yes,1,W8802,unknown,81
W9007_2002,W9007,2001,F,1986,16,WithCubs,4.25,-22.858,90,62,4/18/2002,5.4328,1.451612903,2001,16,2002,3,Rassakuhonan,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,1,W8811,unknown,82
W0404_2004,W0404,2003,M,2003,1,WithMother,4.37,-23.124,25,41,4/14/2004,3.8844,0.609756098,2003,1,2004,4,Rassaku_k4:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9007,W9916,83
W0405_2004,W0405,2003,F,2003,1,WithMother,4.76,-22.964,29,45,4/14/2004,3.3552,0.644444444,2003,1,2004,4,Kroka,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9007,W9916,83
W9007_2004,W9007,2003,F,1986,18,WithCubs,4.19,-22.934,98,62,4/14/2004,4.345,1.580645161,2003,18,2004,3,Rassakuhonan,s,s,s,2,s,l,l,l,D,NA,NA,NA,2,january-may,yes,1,W8811,unknown,83
W9608_1996,W9608,1995,M,1995,1,WithMother,3.79,-23.75,24,40,4/20/1996,4.835,0.6,1995,1,1996,4,Granfjällbjörn,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W9008,W9505,84
W9609_1996,W9609,1995,M,1995,1,WithMother,3.87,-23.61,23,40,4/20/1996,5.129,0.575,1995,1,1996,4,Syndalsbjörn,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W9008,W9505,84
W9610_1996,W9610,1995,M,1995,1,WithMother,3.99,-23.59,26,42,4/20/1996,5.6778,0.619047619,1995,1,1996,4,Öjskogsbjörn,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W9008,W9505,84
W9008_1996,W9008,1995,F,1986,10,WithCubs,3.26,-23.45,95,60,4/20/1996,4.6488,1.583333333,1995,10,1996,3,Rensjöhonan,s,s,s,3,3,l,l,l,l,l,l,l,3,january-may,yes,1,W8811,unknown,84
W9804_1998,W9804,1997,F,1997,1,WithMother,4.81,-23.166,27,43,4/15/1998,4.1784,0.627906977,1997,1,1998,4,Borregaard,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9008,W9811,85
W9805_1998,W9805,1997,F,1997,1,WithMother,4.8,-23.216,25,40,4/15/1998,4.688,0.625,1997,1,1998,4,Rensjö_k5:2,m,m,m,m,m,m,d,NA,NA,NA,NA,NA,0,NA,NA,NA,W9008,W9811,85
W9008_1998,W9008,1997,F,1986,12,WithCubs,3.92,-23.356,102,62,4/15/1998,3.6394,1.64516129,1997,12,1998,3,Rensjöhonan,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,1,W8811,unknown,85
W0021_2000,W0021,1999,F,1999,1,WithMother,4.6,-23.252,30,40,4/28/2000,7.45,0.75,1999,1,2000,4,Tangå,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9008,W9505,86
W0022_2000,W0022,1999,M,1999,1,WithMother,4.67,-23.052,30,39,4/28/2000,12.57,0.769230769,1999,1,2000,4,Rensjö_k6:2,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9008,W9505,86
W0023_2000,W0023,1999,M,1999,1,WithMother,4.71,-23.262,28,38,4/28/2000,5.7,0.736842105,1999,1,2000,4,Rensjö_k6:3,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9008,W9505,86
W9008_2000,W9008,1999,F,1986,14,WithCubs,3.92,-23.252,111,61,4/28/2000,5.42,1.819672131,1999,14,2000,3,Rensjöhonan,s,s,s,3,s,s,l,l,l,l,l,l,3,january-june,yes,1,W8811,unknown,86
W0219_2002,W0219,2001,F,2001,1,WithMother,4.73,-23.228,24,42,4/24/2002,5.1976,0.571428571,2001,1,2002,4,Ljöra,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9008,W0202,87
W0220_2002,W0220,2001,M,2001,1,WithMother,4.59,-23.258,25,40,4/24/2002,5.6288,0.625,2001,1,2002,4,Rensjö_k6:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9008,W0202,87
W9008_2002,W9008,2001,F,1986,16,WithCubs,3.99,-23.378,96,63,4/24/2002,5.2956,1.523809524,2001,16,2002,3,Rensjöhonan,s,s,s,2,s,l,l,l,D,NA,NA,NA,2,january-may,yes,1,W8811,unknown,87
W9801_1998,W9801,1997,M,1997,1,WithMother,4.63,-23.256,25.5,41,4/14/1998,4.345,0.62195122,1997,1,1998,4,Lohos,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W9101,W9301,88
W9101_1998,W9101,1997,F,1990,8,WithCubs,4.09,-23.206,95,62,4/14/1998,3.6394,1.532258065,1997,8,1998,3,Griffel,s,s,s,1,1,l,l,l,l,l,l,l,1,january-may,yes,1,W8906,W8607,88
W0112_2001,W0112,2000,M,2000,1,WithMother,4.93,-22.78,22,40,4/25/2001,8.83,0.55,2000,1,2001,4,Griffel_k4:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9101,W9701,89
W0113_2001,W0113,2000,M,2000,1,WithMother,4.79,-23.08,20,39,4/25/2001,10.46,0.512820513,2000,1,2001,4,Griffel_k4:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9101,W9701,89
W0114_2001,W0114,2000,M,2000,1,WithMother,4.64,-23.02,19,38,4/25/2001,11.02,0.5,2000,1,2001,4,Griffel_k4:3,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9101,W9701,89
W9101_2001,W9101,2000,F,1990,11,WithCubs,4.29,-22.84,93,61,4/25/2001,9.62,1.524590164,2000,11,2001,3,Griffel,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,W8906,W8607,89
W0315_2003,W0315,2002,M,2002,1,WithMother,4.89,-22.916,13,36,4/23/2003,5.2074,0.361111111,2002,1,2003,4,Griffel_k5:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9101,W9921,90
W0316_2003,W0316,2002,M,2002,1,WithMother,5.34,-22.916,14,37,4/23/2003,7.138,0.378378378,2002,1,2003,4,Griffel_k5:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9101,W9921,90
W9101_2003,W9101,2002,F,1990,13,WithCubs,4.6,-22.856,81,61,4/23/2003,5.9522,1.327868852,2002,13,2003,3,Griffel,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,1,W8906,W8607,90
W0505_2005,W0505,2004,F,2004,1,WithMother,4.28,-23.642,23.5,40,4/16/2005,5.8346,0.5875,2004,1,2005,4,Kampa,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9101,unknown,91
W0506_2005,W0506,2004,M,2004,1,WithMother,4.02,-23.452,27.5,42,4/16/2005,6.942,0.654761905,2004,1,2005,4,Griffel_k6:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9101,unknown,91
W9101_2005,W9101,2004,F,1990,15,WithCubs,4.46,-23.392,106,64,4/16/2005,3.5218,1.65625,2004,15,2005,3,Griffel,s,s,s,2,2,l,l,l,l,l,l,l,2,january-may,yes,1,W8906,W8607,91
W9606_1996,W9606,1995,F,1995,1,WithMother,4.67,-23.66,21,41,4/20/1996,4.5116,0.512195122,1995,1,1996,4,Koska_k1:1,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,0,NA,NA,NA,W9207,W9002,92
W9607_1996,W9607,1995,F,1995,1,WithMother,4.54,-23.56,21,40,4/20/1996,4.3254,0.525,1995,1,1996,4,Koska_k1:2,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,0,NA,NA,NA,W9207,W9002,92
