bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort,littercond,littercort
W0004,F,1999,W0004.1999,1994,5,W0004.1999,2,b,Wcubs,1,no,0,P,1.5,P,NA,W9002,NA.1994,234,2000,-22.65,4.62,95,59,1.61,4,5.01,0.59,6.06
W0107,F,2000,W0107.2000,2000,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9003,W0801,W9003.2000,260,2001,-22.69,5.49,28.5,44,0.65,4,3.71,,
W0104,F,2000,W0104.2000,2000,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,UNKNOWN01,W9909.2000,257,2001,-22.81,5.21,34,45,0.76,4,4.13,,
W0105,F,2000,W0105.2000,2000,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,UNKNOWN01,W9909.2000,258,2001,-22.79,5.72,35,45,0.78,4,3.4,,
W0214,F,2001,W0214.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0004,UNKNOWN04,W0004.2001,300,2002,-23.04,4.72,27,41.5,0.65,4,5.32,,
W0208,F,2001,W0208.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0109,UNKNOWN03,W0109.2001,294,2002,-22.94,3.9,17,38,0.45,4,5.41,,
W0209,F,2001,W0209.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0109,W9701,W0109.2001,295,2002,-22.84,4.3,16,37,0.43,4,5.68,,
W0219,F,2001,W0219.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9008,W0202,W9008.2001,305,2002,-23.23,4.73,24,42,0.57,4,5.2,,
W0212,F,2001,W0212.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9307,W9701,W9307.2001,298,2002,-22.87,5.4,17,38,0.45,4,5.48,,
W0217,F,2001,W0217.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9403,UNKNOWN02,W9403.2001,303,2002,-22.97,4.72,10,35.5,0.28,4,5.51,,
W0010,F,2005,W0010.2005,1999,6,W0010.2005,2,b,Wcubs,2,no,0,P,1.5,P,W9403,W9810,W9403.1999,889,2006,-23.55,4.37,83,60,1.38,4,8.1,0.47,
W0018,F,2002,W0018.2002,1999,3,NA,1,l,Sfem,0,unknown,unknown,N,unknown,NKR,W9504,V235813,W9504.1999,334,2003,-22.52,4.78,88,58,1.52,4,4.57,,
W0205,F,2001,W0205.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,W0108,W9502.2001,291,2002,-23.06,5.06,18,38,0.47,4,4.82,,
W0104,F,2005,W0104.2005,2000,5,W0104.2005,2,b,Wcubs,2,no,0,P,2.5,P,W9909,UNKNOWN01,W9909.2000,890,2006,-22.95,4.36,77,59,1.31,4,11.35,0.46,15.59
W0318,F,2002,W0318.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9308,W0801,W9308.2002,867,2003,-22.87,5.51,25,41,0.61,4,6.38,,
W0311,F,2002,W0311.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9310,02WW06,W9310.2002,348,2003,-22.52,4.82,20,40,0.5,4,5.83,,
W0317,F,2002,W0317.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9615,W0233,W9615.2002,352,2003,-22.62,5.11,21,40,0.53,4,4.14,,
W0309,F,2002,W0309.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9804,V190306,W9804.2002,864,2003,-22.97,4.82,10,35,0.29,4,13.43,,
