bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort
W0020,F,1999,W0020.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9504,V235813,W9504.1999,210,2000,-22.952,5.69,24,36,0.666666667,4,4.933
W0021,F,1999,W0021.1999,1999,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9008,W9505,W9008.1999,834,2000,-23.252,4.6,30,40,0.75,4,7.45
W0104,F,2000,W0104.2000,2000,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,UNKNOWN01,W9909.2000,257,2001,-22.81,5.21,34,45,0.755555556,4,4.1294
W0105,F,2000,W0105.2000,2000,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,UNKNOWN01,W9909.2000,258,2001,-22.79,5.72,35,45,0.777777778,4,3.4042
W0107,F,2000,W0107.2000,2000,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9003,W0801,W9003.2000,260,2001,-22.69,5.49,28.5,44,0.647727273,4,3.708
W0107,F,2004,W0107.2004,2000,4,NA,1,l,Sfem,0,unknown,unknown,N,unknown,C,W9003,W0801,W9003.2000,418,2005,-22.882,5.07,79,59,1.338983051,4,4.8252
W0205,F,2001,W0205.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,W0108,W9502.2001,291,2002,-23.058,5.06,18,38,0.473684211,4,4.8154
W0208,F,2001,W0208.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0109,UNKNOWN03,W0109.2001,294,2002,-22.938,3.9,17,38,0.447368421,4,5.4132
W0209,F,2001,W0209.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0109,W9701,W0109.2001,295,2002,-22.838,4.3,16,37,0.432432432,4,5.6778
W0212,F,2001,W0212.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9307,W9701,W9307.2001,298,2002,-22.868,5.4,17,38,0.447368421,4,5.4818
W0214,F,2001,W0214.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W0004,UNKNOWN04,W0004.2001,300,2002,-23.038,4.72,27,41.5,0.65060241,4,5.3152
W0217,F,2001,W0217.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9403,UNKNOWN02,W9403.2001,303,2002,-22.968,4.72,10,35.5,0.281690141,4,5.5112
W0219,F,2001,W0219.2001,2001,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9008,W0202,W9008.2001,305,2002,-23.228,4.73,24,42,0.571428571,4,5.1976
W0304,F,2002,W0304.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,V005505,W9909.2002,343,2003,-22.966,4.8,29,NA,NA,4,3.4238
W0305,F,2002,W0305.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,V086305,W9909.2002,344,2003,-22.956,4.79,24,NA,NA,4,5.0016
W0306,F,2002,W0306.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9909,V005505,W9909.2002,345,2003,-22.846,4.99,24.5,NA,NA,4,4.5508
W0309,F,2002,W0309.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9804,V190306,W9804.2002,864,2003,-22.966,4.82,10,35,0.285714286,4,13.43
W0311,F,2002,W0311.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9310,02WW06,W9310.2002,348,2003,-22.516,4.82,20,40,0.5,4,5.8346
W0317,F,2002,W0317.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9615,W0233,W9615.2002,352,2003,-22.616,5.11,21,40,0.525,4,4.1392
W0318,F,2002,W0318.2002,2002,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9308,W0801,W9308.2002,867,2003,-22.866,5.51,25,41,0.609756098,4,6.38
W0323,F,2004,W0323.2004,2000,4,NA,1,l,Sfem,0,unknown,unknown,N,unknown,C,NA,NA,NA.2000,429,2005,-22.812,4.55,94,60,1.566666667,4,3.7472
W0401,F,2003,W0401.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,UNKNOWN07,W9502.2003,389,2004,-23.404,4.61,21,40,0.525,4,4.394
W0402,F,2003,W0402.2003,2003,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9502,V118304,W9502.2003,390,2004,-23.054,4.9,30,42,0.714285714,4,3.904
